Round,Team,Piece,From,To,Capture
1,white,Pawn,e7,e5,False
,black,Pawn,d4,d5,False
2,white,Pawn,c7,c6,False
,black,Pawn,d5,c6,True
3,white,Pawn,b7,c6,True
,black,Pawn,f2,f4,False
4,white,Pawn,e5,e4,False
,black,Pawn,f4,f5,False
5,white,Pawn,g7,g5,False
