Round,Team,Piece,From,To,Capture
1,white,Pawn,d7,d5,False
,black,Pawn,c4,c5,False
2,white,Pawn,b7,b5,False
,black,Pawn,c5,b6,True
3,white,Pawn,c7,b6,True
,black,Pawn,e2,e4,False
4,white,Pawn,d5,d4,False
,black,Pawn,d2,d3,False
5,white,Pawn,f7,f5,False
,black,Pawn,e4,f5,True
6,white,Pawn,g7,g6,False
,black,Pawn,f2,f4,False
7,white,Pawn,g6,g5,False
,black,Pawn,g2,g4,False
8,white,Pawn,e7,e5,False
,black,Pawn,f5,e6,True
9,white,Pawn,g5,f4,True
